rank,name
342,陕西理工大学
343,塔里木大学
343,天津职业技术师范大学
345,长江师范学院
346,湖南第一师范学院
347,江苏理工学院
348,江西水利电力大学
349,长春工程学院
350,盐城师范学院
351,井冈山大学
351,金陵科技学院
353,天津农学院
353,仲恺农业工程学院
355,铜仁学院
356,山东交通学院
357,黄冈师范学院
357,泉州师范学院
359,河南科技学院
360,温州理工学院
